Run order,Group number,Group name,Group
17,1,Non-lactose free milk,A
28,1,Non-lactose free milk,A
5,1,Non-lactose free milk,A
59,1,Non-lactose free milk,A
50,1,Non-lactose free milk,A
60,1,Non-lactose free milk,A
8,1,Non-lactose free milk,A
32,1,Non-lactose free milk,A
38,1,Non-lactose free milk,A
16,1,Non-lactose free milk,A
56,4,Soy milk,D
47,4,Soy milk,D
40,4,Soy milk,D
2,4,Soy milk,D
9,4,Soy milk,D
39,4,Soy milk,D
35,4,Soy milk,D
46,4,Soy milk,D
29,4,Soy milk,D
58,4,Soy milk,D
